
AppName                                                                        
-------                                                                        
Construct 2 r206                                                               
GIMP 2.8.14                                                                    
Microsoft Security Essentials                                                  
Intel(R) Network Connections 19.2.104.00                                       
NI VC2008MSMs x64                                                              
Intel(R) Network Connections 19.2.104.00                                       
Intelr Trusted Connect Service Client                                          
Intel(R) Management Engine Components                                          
Microsoft .NET Framework 4.5.2                                                 
Intel(R) PROSet/Wireless Software for Bluetooth(R) Technology(patch version ...
SketchUp 2015                                                                  
Intel(R) Rapid Storage Technology                                              
Intel(R) ME UninstallLegacy                                                    
NI Security Update (KB 67L8LCQW) (64-bit)                                      
Intel(R) Management Engine Components                                          
Intel(R) Management Engine Components                                          
Microsoft Silverlight                                                          
Dell Edoc Viewer                                                               
Microsoft .NET Framework 4.5.2                                                 
Dell Touchpad                                                                  
LEGO MINDSTORMS NXT x64 Driver                                                 
Intelr PROSet/Wireless WiFi Software                                           
Intel(R) PRO/Wireless Driver                                                   
Intel(R) Management Engine Components                                          
Dell Foundation Services                                                       
Microsoft Security Client                                                      
Dell Command | Power Manager                                                   
Intel(R) Rapid Storage Technology                                              
Adobe AIR                                                                      
Adobe Flash Player 16 ActiveX                                                  
Dell Webcam Central                                                            
Scratch 2 Offline Editor                                                       
Google Chrome                                                                  
LEGO MINDSTORMS EV3                                                            
National Instruments Software                                                  
Unity Web Player (All users)                                                   
Dell Backup and Recovery                                                       
Minecraft                                                                      
NI Security Update (KB 67L8LCQW)                                               
Realtek Audio COM Components                                                   
Intel(R) USB 3.0 eXtensible Host Controller Driver                             
LME EV3 Design Engineering Process English Support                             
Adobe AIR                                                                      
Intelr PROSet/Wireless Software                                                
Microsoft Silverlight 5.1                                                      
Scratch 2 Offline Editor                                                       
LEGO MINDSTORMS EV3 Uninstaller                                                
Google Update Helper                                                           
LME EV3 Design Engineering Process                                             
LME EV3 Space Challenge Activity Pack                                          
LEGO MINDSTORMS Education EV3 Content                                          
LEGO MINDSTORMS Education EV3 English Support                                  
NI EulaDepot                                                                   
Computrace                                                                     
Microsoft Office                                                               
ST Microelectronics 3 Axis Digital Accelerometer Solution                      
NI .NET Framework 4                                                            
Adobe Refresh Manager                                                          
Adobe Acrobat Reader DC                                                        
LME EV3 Science Activity Pack                                                  
Dell Digital Delivery                                                          
LME EV3 Science Activity Pack English Support                                  
NI Uninstaller                                                                 
LEGO MINDSTORMS Education EV3                                                  
LME EV3 Space Challenge Activity Pack English Support                          
Dell Protected Workspace                                                       
NI VC2008MSMs x86                                                              
Dell Command | Update                                                          
Intel(R) Processor Graphics                                                    
Realtek High Definition Audio Driver                                           
NI MDF Support                                                                 


